shape,spacing,cycle,MaxAngle,MaxExt,MaxIndex,MaxLoad,Work
Hexagon,-0.1,1,29.24902285,16.316,328,2.0987,8.627685145
Hexagon,-0.1,2,27.12989985,14.8257,306,2.0179,7.54768453
Hexagon,-0.1,3,29.60525315,16.5757,338,1.8767,7.93883889
Triangle,0.3,1,30.61278852,17.3259,351,11.8335,23.33159506
Triangle,0.3,2,30.63353447,17.3416,359,11.3156,17.73114736
Triangle,0.3,3,30.61252415,17.3257,355,11.3248,17.07864382
Triangle,0.1,1,29.72821702,16.666,335,2.6678,10.72924117
Triangle,0.1,2,30.21330051,17.0256,350,2.5167,9.77436602
Triangle,0.1,3,29.53710388,16.5258,337,2.4174,10.02007086
Triangle,0,1,30.40057388,17.1659,345,2.2635,8.506318185
Triangle,0,2,28.84639478,16.0258,330,2.1989,7.55871723
Triangle,0,3,30.34689492,17.1256,349,2.0149,7.249467055
Triangle,-0.1,1,26.96884395,14.716,296,1.419,7.95799995
Triangle,-0.1,2,28.56610054,15.8258,326,1.3784,7.182503865
Triangle,-0.1,3,28.56595982,15.8257,323,1.362,7.612710125
Circle,0.3,1,30.2669397,17.0657,343,11.7942,26.06345966
Circle,0.3,2,30.54622885,17.2756,355,10.9101,19.59019053
Circle,0.3,3,30.60564977,17.3205,353,10.5718,17.5767102
